                           x                ground state                 1st excited                 2nd excited
  -15.588972431077694        5.3276986484849263E-012   9.8468942461453680E-005   1.8653261844758448E-002
  -15.488721804511279        6.3409198482717494E-012   1.0517800675853397E-004   1.9359282505970021E-002
  -15.388471177944862        7.5466820248566512E-012   1.1228202449988412E-004   2.0069839239966431E-002
  -15.288220551378446        8.9815734367603972E-012   1.1980374054798549E-004   2.0784313659698368E-002
  -15.187969924812030        1.0689135150584226E-011   1.2776723706467170E-004   2.1502083962571087E-002
  -15.087719298245615        1.2721182270393957E-011   1.3619801060523411E-004   2.2222525470766166E-002
  -14.987468671679199        1.5139376237604381E-011   1.4512305373922153E-004   2.2945011173976133E-002
  -14.887218045112782        1.8017095911647747E-011   1.5457094145893111E-004   2.3668912274065947E-002
  -14.786967418546366        2.1441664207938129E-011   1.6457192265188997E-004   2.4393598731177472E-002
  -14.686716791979951        2.5516997858686036E-011   1.7515801692976702E-004   2.5118439810789119E-002
  -14.586466165413533        3.0366760701347518E-011   1.8636311712322691E-004   2.5842804631240182E-002
  -14.486215538847118        3.6138116178493261E-011   1.9822309777031087E-004   2.6566062711229577E-002
  -14.385964912280702        4.3006192915265771E-011   2.1077592994499022E-004   2.7287584516793504E-002
  -14.285714285714286        5.1179398878065642E-011   2.2406180279276760E-004   2.8006742007272177E-002
  -14.185463659147871        6.0905745367190766E-011   2.3812325216145759E-004   2.8722909179762082E-002
  -14.085213032581454        7.2480372738174880E-011   2.5300529673793841E-004   2.9435462611566637E-002
  -13.984962406015038        8.6254506211224889E-011   2.6875558212541674E-004   3.0143782000141024E-002
  -13.884711779448622        1.0264611352190996E-010   2.8542453332101430E-004   3.0847250700039078E-002
  -13.784461152882205        1.2215258780569086E-010   3.0306551608009461E-004   3.1545256256362522E-002
  -13.684210526315789        1.4536584056085812E-010   3.2173500768188754E-004   3.2237190934214496E-002
  -13.583959899749374        1.7299026266346639E-010   3.4149277764076834E-004   3.2922452243663906E-002
  -13.483709273182958        2.0586409843268264E-010   3.6240207893892143E-004   3.3600443459720547E-002
  -13.383458646616543        2.4498488130600351E-010   3.8452985038935707E-004   3.4270574136826486E-002
  -13.283208020050125        2.9153970292303436E-010   4.0794693077331662E-004   3.4932260617368323E-002
  -13.182957393483710        3.4694123407296438E-010   4.3272828543310468E-004   3.5584926533711585E-002
  -13.082706766917294        4.1287059048395994E-010   4.5895324604060294E-004   3.6228003303270209E-002
  -12.982456140350877        4.9132834411696781E-010   4.8670576430282300E-004   3.6860930616108713E-002
  -12.882205513784461        5.8469522777276813E-010   5.1607468040958864E-004   3.7483156914588665E-002
  -12.781954887218046        6.9580437492699280E-010   5.4715400707433710E-004   3.8094139864567000E-002
  -12.681704260651630        8.2802728669512540E-010   5.8004323006747237E-004   3.8693346817649611E-002
  -12.581453634085214        9.8537613431542492E-010   6.1484762619287128E-004   3.9280255264010834E-002
  -12.481203007518797        1.1726255011556643E-009   6.5167859971199181E-004   3.9854353275285283E-002
