                           x                ground state                 1st excited                 2nd excited
  -14.887218045112782        5.1446020846129295E-083   8.4444934663137016E-082   5.7189707555679221E-073
  -14.786967418546366        8.8213949239595757E-081   1.2443358082000977E-080   4.9480256373525793E-074
  -14.686716791979951        4.3989664335543701E-081   3.0268711102490953E-079   3.0138131703271660E-072
  -14.586466165413533        1.9405070265891468E-079   2.0372585922014426E-079   4.6958111197073634E-072
  -14.486215538847118        5.4625931254192929E-078   2.4042020512241774E-077   7.2500662562413193E-071
  -14.385964912280702        2.1400634355406252E-077   7.4783186870967756E-077   3.3241436761664693E-070
  -14.285714285714286        8.1862569377092176E-077   6.9001229979962472E-077   6.2369903174828839E-072
  -14.185463659147871        1.7823943309589658E-076   6.0522349212771054E-076   1.6538478012601137E-076
  -14.085213032581454        3.9556037332538343E-076   4.7466258178742450E-076   1.7184165663587899E-071
  -13.984962406015038        3.2614609078644818E-075   5.9413454350106552E-075   6.4714160079767987E-071
  -13.884711779448622        2.9801767167456752E-074   1.2906513021106231E-073   5.6227329086472761E-073
  -13.784461152882205        1.7914410568424937E-073   1.5544759622434186E-073   1.6907599381105451E-073
  -13.684210526315789        1.1162797912571596E-072   1.6888034103754320E-072   3.2504023951981602E-070
  -13.583959899749374        5.9329511903073856E-072   1.6703422331047628E-071   3.1873433767328574E-072
  -13.483709273182958        6.2002798693263512E-071   8.0733366543513187E-071   3.4166843433481668E-071
  -13.383458646616543        4.7962808655915192E-071   1.1671309291290156E-070   1.1024479047779201E-071
  -13.283208020050125        6.1745289929021969E-070   2.6036870027310728E-069   1.2417443264410873E-070
  -13.182957393483710        1.8709738705054226E-069   1.7024498438414950E-069   1.5342556910308998E-069
  -13.082706766917294        2.5669759708785211E-069   6.3597217838560612E-069   3.0655874780955254E-068
  -12.982456140350877        1.1426025506061487E-067   1.3397680301608704E-067   2.9920877873904936E-069
  -12.882205513784461        1.7298319914229091E-067   2.5392896251601639E-067   1.7368561861585971E-066
  -12.781954887218046        4.5413238537908546E-068   1.6028184547952462E-066   2.2350945165765373E-065
  -12.681704260651630        2.3725678073746898E-066   1.0888261775000734E-065   2.2439666859742577E-064
  -12.581453634085214        2.3886136922856097E-065   8.4866447967343527E-065   2.9252095748110090E-063
  -12.481203007518797        3.0325920489236384E-065   4.8935938488194971E-064   3.2556983824627544E-062
  -12.380952380952381        5.3555116826924237E-065   4.0722393533078706E-063   3.1951149069773784E-061
  -12.280701754385966        4.2423951793759388E-064   3.1169813882660899E-062   3.3197726030079013E-060
  -12.180451127819548        1.5018801980057415E-063   2.7372443143870034E-061   3.3239802956968307E-059
  -12.080200501253133        1.6845311470164126E-062   2.7303905233799394E-060   3.2452845822567039E-058
  -11.979949874686717        1.2479429572651707E-061   2.5962007962055881E-059   3.1090058933895495E-057
  -11.879699248120302        1.1678373296179575E-060   2.4685619286327681E-058   2.9313678545588629E-056
  -11.779448621553886        1.0340381839312767E-059   2.3009749354916231E-057   2.7141316521213037E-055
  -11.679197994987469        9.2558076384615122E-059   2.1227000342662294E-056   2.4676541687289627E-054
  -11.578947368421053        8.4215064024278583E-058   1.9214007546028098E-055   2.2052873852903710E-053
  -11.478696741854638        7.5439510692900077E-057   1.7117011498724064E-054   1.9357508030692507E-052
  -11.378446115288220        6.6982192916615483E-056   1.4986171121089139E-053   1.6692728585368078E-051
  -11.278195488721805        5.8414289330112622E-055   1.2891341364910909E-052   1.4140351359750276E-050
  -11.177944862155389        5.0116805645221733E-054   1.0895692694384372E-051   1.1766103535196105E-049
  -11.077694235588973        4.2276618534925771E-053   9.0476868444497595E-051   9.6167989595797218E-049
  -10.977443609022558        3.5037985280242041E-052   7.3807833197683589E-050   7.7202874403740986E-048
  -10.877192982456140        2.8532685092228238E-051   5.9147408480692988E-049   6.0872711219061025E-047
  -10.776942355889725        2.2828831482354388E-050   4.6560585962880836E-048   4.7138835089812741E-046
  -10.676691729323309        1.7944853011283843E-049   3.6002469090580618E-047   3.5849477981322193E-045
